Date;Open;High;Low;Last;Volume;Status
22.03.2023;75,15;77,12;74,5;76,69;194042;0
23.03.2023;75,87;77,44;75,12;75,91;199644;0
24.03.2023;75,53;76,32;72,68;74,99;156306;0
27.03.2023;75;78,42;74,8;78,12;146945;0
28.03.2023;78,23;79,2;77,54;78,65;145681;0
29.03.2023;78,97;79,68;77,94;78,28;79541;0
30.03.2023;78,23;79,55;77,86;79,27;62922;0
31.03.2023;79,19;79,8;78,54;79,77;6853;0
03.04.2023;86;86,44;83,5;84,93;478307;0
04.04.2023;84,89;86,04;83,82;84,94;308533;0
05.04.2023;85,22;85,54;84,01;84,99;246479;0
06.04.2023;84,89;85,45;84,05;85,12;259617;0
10.04.2023;85,1;85,66;84,09;84,18;140529;0
11.04.2023;84,24;85,67;83,75;85,61;262666;0
12.04.2023;85,59;87,49;85,39;87,33;347797;0
13.04.2023;87,19;87,47;86,05;86,09;291944;0
14.04.2023;86,18;86,87;85,53;86,31;262578;0
17.04.2023;86,43;86,52;84,34;84,76;261810;0
18.04.2023;84,74;85,41;83,81;84,77;315698;0
19.04.2023;84,9;85,15;82,39;83,12;333215;0
